iter	Logloss
285	0.2321174701
286	0.2320089937
287	0.2318675324
288	0.2316612569
289	0.2315231259
290	0.2314234095
291	0.2312134506
292	0.2311142375
293	0.2308843621
294	0.2305778012
295	0.2304547386
296	0.2302976649
297	0.2301069987
298	0.2297945365
299	0.2295496368
300	0.2293958641
301	0.2292375928
302	0.2290180744
303	0.2288187093
304	0.2285788711
305	0.228450764
306	0.2281798344
307	0.2280175267
308	0.2278438905
309	0.2277324186
310	0.2275724639
311	0.2274420377
312	0.2273155008
313	0.2271532235
314	0.2269486083
315	0.2266506216
316	0.2264172933
317	0.2262147812
318	0.2259381508
319	0.2258055777
320	0.2255259055
321	0.2252922074
322	0.2250810092
323	0.2249104462
324	0.2247405988
325	0.2245701084
326	0.2242827215
327	0.2240387668
328	0.223832638
329	0.2236739641
330	0.2234990247
331	0.2233206846
332	0.2231171113
333	0.2228659579
334	0.2227311782
335	0.2226210145
336	0.2224672834
337	0.2223964744
338	0.2222824309
339	0.2221414758
340	0.2219020226
341	0.2216909124
342	0.2215339199
343	0.221343304
344	0.2212375606
345	0.2211335857
346	0.2209627941
347	0.2207247248
348	0.2203362321
349	0.220221238
350	0.2200407503
351	0.2198912596
352	0.2196613769
353	0.2195745106
354	0.219394372
355	0.219299152
356	0.2191817207
357	0.2189987295
358	0.2186295083
359	0.2184657758
360	0.2183517858
361	0.2180640139
362	0.2178982372
363	0.2177068106
364	0.2174445515
365	0.2171131195
366	0.2168491627
367	0.2166890009
368	0.2164900121
369	0.2162485409
370	0.2160159462
371	0.2156343213
372	0.2152816533
373	0.2150999513
374	0.2149650558
375	0.2145921163
376	0.2144518344
377	0.2142982561
378	0.2141004935
379	0.2139851349
380	0.2138095002
381	0.2134433459
382	0.213302434
383	0.2131677255
384	0.2130486425
385	0.2127995743
386	0.212594876
387	0.2125154137
388	0.2123893309
389	0.2121467655
390	0.2119962452
391	0.2118015173
392	0.211672627
393	0.2113889973
394	0.2112306584
395	0.2108778864
396	0.2107441922
397	0.2106072064
398	0.2104971946
399	0.2103618844
400	0.2102608494
401	0.2101284504
402	0.2099240674
403	0.2098007325
404	0.2096376562
405	0.2093877744
406	0.209057205
407	0.2088878162
408	0.2086729289
409	0.2084046966
410	0.2082810266
411	0.2081642184
412	0.2080072223
413	0.2078826773
414	0.207774334
415	0.2076360923
416	0.2072337179
417	0.2071359651
418	0.2069689181
419	0.2068701208
420	0.2067689066
421	0.2066273089
422	0.2063910258
423	0.2063094165
424	0.2059339232
425	0.2058174194
426	0.2056046312
427	0.2053290212
428	0.205246767
429	0.2051258399
430	0.2050008921
431	0.2048732746
432	0.2047281879
433	0.2046109897
434	0.2044082413
435	0.2042825123
436	0.2040936533
437	0.2038921254
438	0.2038134103
439	0.2037162598
440	0.2036439253
441	0.2033719798
442	0.203273021
443	0.2031409815
444	0.2028885156
445	0.2026812114
446	0.2024727382
447	0.2023517002
448	0.2022089391
449	0.202011463
450	0.2018693001
451	0.2017605349
452	0.201586115
453	0.2014453912
454	0.2012951138
455	0.2011170568
456	0.2010036626
457	0.20085291
458	0.2006270187
459	0.2004713602
460	0.2003677815
461	0.2002908537
462	0.2001434968
463	0.1999446773
464	0.1998362884
465	0.1996925646
466	0.199568658
467	0.1994474894
468	0.1992620736
469	0.1991231698
470	0.1989737468
471	0.1988233052
472	0.1986223168
473	0.1983959051
474	0.1982580708
475	0.1981786967
476	0.1980517113
477	0.1978548443
478	0.1977433483
479	0.1975589152
480	0.197476403
481	0.1972835329
482	0.1971656659
483	0.1970935426
484	0.196994022
485	0.1968909357
486	0.1967517478
487	0.1965987721
488	0.1964073713
489	0.1960980876
490	0.1957568296
491	0.1954788053
492	0.1953755926
493	0.19511008
494	0.1950129551
495	0.1949440314
496	0.1948094983
497	0.1945488706
498	0.1943690764
499	0.1942741178
500	0.1941908179
501	0.1941009035
502	0.1939845518
503	0.1938568339
504	0.1936797636
505	0.1935204669
506	0.1934141667
507	0.1932168217
508	0.1930227553
509	0.1928342345
510	0.1926706835
511	0.1925722846
512	0.1924718244
513	0.1923456606
514	0.1921641867
515	0.1920571816
516	0.1920030923
517	0.1918351433
518	0.1916861581
519	0.1915377643
520	0.1914011613
521	0.191319788
522	0.1912324271
523	0.1911033925
524	0.1909268172
525	0.1907875074
526	0.1906399661
527	0.1905435097
528	0.1903826594
529	0.1902514131
530	0.1900985884
531	0.1900491695
532	0.189977415
533	0.1899057597
534	0.1897797825
535	0.1895993432
536	0.1894534934
537	0.189335391
538	0.1892077518
539	0.1889177747
540	0.1888317081
541	0.1886834945
542	0.1885702755
543	0.1884740105
544	0.1883617452
545	0.1882735366
546	0.188115057
547	0.187940001
548	0.1877946876
549	0.1877244916
550	0.1876481331
551	0.1875619846
552	0.1874313711
553	0.1873066878
554	0.1871990625
555	0.1870891252
556	0.1869641989
557	0.186852675
558	0.1867526885
559	0.1866245297
560	0.18654687
561	0.1864299367
562	0.1863477852
563	0.1862321575
564	0.186110593
565	0.1859157842
566	0.1857793399
567	0.1856584959
568	0.1854817091
569	0.1854159763
570	0.1853441107
571	0.1852563733
572	0.1851493179
573	0.1850511152
574	0.1849475381
575	0.1848403563
576	0.1847063719
577	0.1845804222
578	0.1844375842
579	0.1842868144
580	0.1841558254
581	0.1840510644
582	0.1839106042
583	0.1838346841
584	0.1837101116
585	0.1836229122
586	0.1835085277
587	0.1834559174
588	0.1832123367
589	0.183064896
590	0.1829808425
591	0.1828786673
592	0.1827886934
593	0.1826296328
594	0.1825462003
595	0.1824346462
596	0.1823724361
597	0.1823169057
598	0.1822426336
599	0.1821055232
600	0.1820089891
601	0.1818594279
602	0.1817210088
603	0.1815508115
604	0.1814479007
605	0.1813474276
606	0.18124911
607	0.1811309345
608	0.1810178293
609	0.1809176254
610	0.1807703032
611	0.1806480302
612	0.1805876194
613	0.1805295875
614	0.1804032363
615	0.1801475642
616	0.1800410819
617	0.1799390403
618	0.1798066969
619	0.1796736838
620	0.1795995046
621	0.1795241395
622	0.1794146579
623	0.1793308058
624	0.1791967762
625	0.1790724653
626	0.1789749389
627	0.1788287156
628	0.1787205109
629	0.1785657291
630	0.1784236668
631	0.1783082765
632	0.1781808805
633	0.1781286235
634	0.178037012
635	0.1779673025
636	0.1778464982
637	0.1777271973
638	0.1776498341
639	0.1775138099
640	0.1774313615
641	0.1773511897
642	0.1772584818
643	0.1771595217
644	0.1770775549
645	0.1770129736
646	0.1768962059
647	0.1768040595
648	0.1766966237
649	0.1766039278
650	0.1764948232
651	0.1764359854
652	0.1763444102
653	0.1762144305
654	0.1761239311
655	0.1759904655
656	0.1758934508
657	0.1757817357
658	0.1756478763
659	0.1755116819
660	0.1754208116
661	0.1753119285
662	0.1752524732
663	0.175114542
664	0.1750057773
665	0.1748588649
666	0.1747894858
667	0.1746823871
668	0.1745551796
669	0.1744685106
670	0.1743518897
671	0.1742112283
672	0.1741762789
673	0.1740869866
674	0.1739894398
675	0.1738856384
676	0.1737885958
677	0.1737156417
678	0.173624434
679	0.1734918445
680	0.1734047024
681	0.1733545522
682	0.1732970628
683	0.1731974055
684	0.1730834798
685	0.1730383634
686	0.1729095292
687	0.1728008111
688	0.1727069732
689	0.1725311892
690	0.1724358282
691	0.1723710819
692	0.1722606403
693	0.1721848528
694	0.1721276186
695	0.1720017666
696	0.1719005805
697	0.1718371165
698	0.1717030461
699	0.1715981402
700	0.1714855751
701	0.1714026758
702	0.1713429298
703	0.1712421744
704	0.1711314875
705	0.1710482417
706	0.1709686244
707	0.170885796
708	0.1708170399
709	0.1707515395
710	0.1706935348
711	0.1705823359
712	0.1705243799
713	0.1704399025
714	0.1703668334
715	0.1703198143
716	0.1702120875
717	0.1701210776
718	0.169967926
719	0.1699013035
720	0.1698181894
721	0.1697064788
722	0.1696518628
723	0.1695873722
724	0.169516816
725	0.1694545284
726	0.1693902109
727	0.1693529213
728	0.1692608745
729	0.1691682444
730	0.1690503768
731	0.1689414851
732	0.1688727244
733	0.1688159598
734	0.1687057585
735	0.1686345842
736	0.1685735835
737	0.1685336192
738	0.1684717407
739	0.1683647735
740	0.1682673252
741	0.1681305759
742	0.1680547333
743	0.1679369889
744	0.1678235441
745	0.1677148379
746	0.1676216436
747	0.167507224
748	0.1674381715
749	0.1673466827
750	0.1672153994
751	0.167123014
752	0.16702602
753	0.166984935
754	0.1669263062
755	0.1668591297
756	0.166817454
757	0.166731385
758	0.1666541836
759	0.1664969671
760	0.1664428019
761	0.1663914357
762	0.1662952167
763	0.1661480094
764	0.1660820392
765	0.1659866363
766	0.1659248189
767	0.1658208853
768	0.1657285696
769	0.1656587753
770	0.1655691344
771	0.1654498463
772	0.165373564
773	0.1653014038
774	0.1652147848
775	0.1651455742
776	0.165068657
777	0.1650133937
778	0.1649699797
779	0.1648702612
780	0.1647967271
781	0.1647157166
782	0.1646126943
783	0.1645162861
784	0.1644646777
785	0.1643483912
786	0.1642475428
787	0.1641208524
788	0.1640782276
789	0.1639404449
790	0.1638519249
791	0.1637400256
792	0.1636327855
793	0.1635439403
794	0.1634364956
795	0.1632904808
796	0.1631795564
797	0.1630951793
798	0.1629472405
799	0.1628286049
800	0.1627332117
801	0.1626695554
802	0.1625672777
803	0.1624988753
804	0.1624444534
805	0.1623218049
806	0.1622763186
807	0.162169977
808	0.1621024329
809	0.1619748091
810	0.1618659491
811	0.1617478138
812	0.1617099289
813	0.1616538985
814	0.161583568
815	0.1615292217
816	0.1614622781
817	0.1613419797
818	0.1612723683
819	0.1611791932
820	0.1611187967
821	0.1610266594
822	0.1609775221
823	0.1608741512
824	0.1608067741
825	0.1606646786
826	0.1605688866
827	0.1605191622
828	0.1604921536
829	0.1604178793
830	0.160309004
831	0.1602058436
832	0.1600576351
833	0.1599588575
834	0.1598520821
835	0.1597726843
836	0.1596655038
837	0.1596113274
838	0.1595198732
839	0.1594452236
840	0.159315233
841	0.1592193727
842	0.1591847027
843	0.1590549433
844	0.1589606311
845	0.1588900399
846	0.1587843684
847	0.1587133838
848	0.1586495395
849	0.1585592053
850	0.1584856112
851	0.1584550489
852	0.158355665
853	0.1582858379
854	0.1581955325
855	0.158093952
856	0.1580108882
857	0.1579139666
858	0.1578277225
859	0.1577845786
860	0.1577462858
861	0.1576577591
862	0.1575783731
863	0.1574915432
864	0.1574431615
865	0.1573546646
866	0.157255882
867	0.157175243
868	0.1570870205
869	0.1570212804
870	0.1569488438
871	0.1568586079
872	0.1567947204
873	0.1567001289
874	0.1566211491
875	0.1565809523
876	0.1565014845
877	0.1564106529
878	0.1562625988
879	0.1561508579
880	0.1560659077
881	0.1559922752
882	0.1559194939
883	0.1558219078
884	0.155734492
885	0.1556701015
886	0.1555961643
887	0.1554944653
888	0.1554522136
889	0.1554120916
890	0.1553286974
891	0.1552474185
892	0.155170116
893	0.1550861623
894	0.1549971042
895	0.1549189309
896	0.1548387581
897	0.1547709867
898	0.154692353
899	0.1546251955
900	0.1545659598
901	0.1545091871
902	0.1544323043
903	0.1543858004
904	0.1543294616
905	0.1542898611
906	0.1542265448
907	0.154150033
908	0.1540711533
909	0.1539890497
910	0.1539285469
911	0.1538249684
912	0.1537583393
913	0.153700388
914	0.153625774
915	0.1535648673
916	0.1535178524
917	0.1534217757
918	0.1533452067
919	0.1532600795
920	0.1531983311
921	0.1530843173
922	0.1530291191
923	0.1529833102
924	0.1529454181
925	0.1528783579
926	0.1527709361
927	0.1527102971
928	0.1526207124
929	0.1525321507
930	0.1524632641
931	0.1524325919
932	0.1523905894
933	0.1523240912
934	0.1522469759
935	0.1521705797
936	0.1521068757
937	0.1520575004
938	0.1519879585
939	0.1519356699
940	0.1518158082
941	0.1517603112
942	0.1517074512
943	0.151597004
944	0.1515234201
945	0.1514577963
946	0.1514108979
947	0.1513518325
948	0.1511741815
949	0.1510964848
950	0.150964936
951	0.1508826232
952	0.150820826
953	0.1507459094
954	0.1506860564
955	0.1506068617
956	0.1505152773
957	0.1504255588
958	0.1503452145
959	0.1502710215
960	0.1502099933
961	0.1501371152
962	0.150046977
963	0.1499347678
964	0.1498896444
965	0.1498115942
966	0.1497355422
967	0.1496882381
968	0.1496368287
969	0.1495351506
970	0.1494469165
971	0.1493998897
972	0.1493196378
973	0.149272807
974	0.1492066493
975	0.1491606047
976	0.1490870248
977	0.1490417129
978	0.1489697321
979	0.148892129
980	0.1488378992
981	0.1487746445
982	0.1487388557
983	0.1486644038
984	0.1485677304
985	0.1485201805
986	0.1484188991
987	0.1483613021
988	0.148314683
989	0.1482606899
990	0.1481873719
991	0.1481393187
992	0.1480446673
993	0.147934743
994	0.1478387666
995	0.1477785894
996	0.1476890986
997	0.1476397574
998	0.1475624974
999	0.1474529323
